feedback,best word,info gain
00201,tales,9.404440713651722
01001,store,9.408006756305898
00000,south,9.125823866047622
10010,south,9.063090240596573
21020,south,9.054427805174058
02002,store,9.408006756305898
01011,store,9.301658415174794
00112,lines,9.256027418812517
10100,south,8.925757572205438
01100,parts,9.268140453155246
11001,store,9.345485881906285
00001,miles,9.41157218
20000,south,9.153700191698206
00121,lines,9.256027418812517
00011,lines,9.402667009966034
21002,store,9.345485881906285
20002,miles,9.321615851
00110,saint,9.322089031826273
00100,tails,8.977559078827174
01110,saint,9.184205503183525
00010,south,9.017684335959409
02220,saint,9.184205503183525
20010,south,9.063090240596573
20200,south,8.925757572205438
20100,south,8.925757572205438
01022,store,9.301658415174794
01010,tours,9.09440197
10000,south,9.153700191698206
00012,lines,9.402667009966034
00200,tails,8.977559078827174
00101,tales,9.404440713651722
12000,south,9.155145205417778
01120,saint,9.184205503183525
02022,store,9.301658415174794
10120,loans,9.250569181
01000,tours,9.223815379076026
00111,lines,9.256027418812517
01201,rates,9.601476685125078
02000,tours,9.223815379076026
02110,saint,9.184205503183525
01101,rates,9.601476685125078
20001,miles,9.321615851
01002,store,9.408006756305898
01200,parts,9.268140453155246
22200,parts,9.146170015945083
00210,saint,9.322089031826273
10001,miles,9.321615851
01021,store,9.301658415174794
00020,south,9.017684335959409
20220,loans,9.250569181
10011,lines,9.338537650136592
00002,miles,9.41157218
02100,parts,9.268140453155246
10200,south,8.925757572205438
02020,tours,9.09440197
02122,rates,9.462238272029458
01211,rates,9.462238272029458
00122,lines,9.256027418812517
02001,store,9.408006756305898
11101,rates,9.512415298
02200,parts,9.268140453155246
00120,saint,9.322089031826273
20111,lines,9.161180997698697
10110,loans,9.250569181
11112,rates,9.376466039
00202,tales,9.404440713651722
12100,parts,9.146170015945083
00102,tales,9.404440713651722
11100,parts,9.146170015945083
00022,lines,9.402667009966034
10210,loans,9.250569181
21001,store,9.345485881906285
21100,parts,9.146170015945083
02101,rates,9.601476685125078
21000,south,9.155145205417778
02111,rates,9.462238272029458
20101,tales,9.295339468
00221,lines,9.256027418812517
20011,lines,9.338537650136592
02121,rates,9.462238272029458
00021,lines,9.402667009966034
11110,loans,9.113126619343397
01122,rates,9.462238272029458
22022,store,9.241050450069956
11010,south,9.054427805174058
01202,rates,9.601476685125078
10101,tales,9.295339468
20020,south,9.063090240596573
02011,store,9.301658415174794
12200,parts,9.146170015945083
01111,rates,9.462238272029458
20202,tales,9.295339468
22000,south,9.155145205417778
22001,store,9.345485881906285
10121,lines,9.161180997698697
02202,rates,9.601476685125078
01102,rates,9.601476685125078
20102,tales,9.295339468
12001,store,9.345485881906285
02010,tours,9.09440197
10012,lines,9.338537650136592
00220,saint,9.322089031826273
10102,tales,9.295339468
01020,tours,9.09440197
11002,store,9.345485881906285
21200,parts,9.146170015945083
11000,south,9.155145205417778
00222,lines,9.256027418812517
22002,store,9.345485881906285
10002,miles,9.321615851
01210,saint,9.184205503183525
20110,loans,9.250569181
01012,store,9.301658415174794
21102,rates,9.512415298
00212,lines,9.256027418812517
21101,rates,9.512415298
22100,parts,9.146170015945083
00211,lines,9.256027418812517
20120,loans,9.250569181
22101,rates,9.512415298
10022,lines,9.338537650136592
20210,loans,9.250569181
10201,tales,9.295339468
11102,rates,9.512415298
22121,rates,9.376466039
02102,rates,9.601476685125078
22020,south,9.054427805174058
10112,lines,9.161180997698697
10220,loans,9.250569181
20112,lines,9.161180997698697
02012,store,9.301658415174794
01112,rates,9.462238272029458
12002,store,9.345485881906285
21110,loans,9.113126619343397
01221,rates,9.462238272029458
02210,saint,9.184205503183525
20012,lines,9.338537650136592
10202,tales,9.295339468
22222,rates,9.376466039
22202,rates,9.512415298
11012,store,9.241050450069956
11200,parts,9.146170015945083
20022,lines,9.338537650136592
11011,store,9.241050450069956
12020,south,9.054427805174058
11201,rates,9.512415298
02021,store,9.301658415174794
22010,south,9.054427805174058
10122,lines,9.161180997698697
12220,loans,9.113126619343397
10111,lines,9.161180997698697
12010,south,9.054427805174058
21022,store,9.241050450069956
21010,south,9.054427805174058
01121,rates,9.462238272029458
01220,saint,9.184205503183525
22220,loans,9.113126619343397
02120,saint,9.184205503183525
21202,rates,9.512415298
12202,rates,9.512415298
10020,south,9.063090240596573
12101,rates,9.512415298
21120,loans,9.113126619343397
01212,rates,9.462238272029458
21122,rates,9.376466039
20201,tales,9.295339468
02201,rates,9.601476685125078
02222,rates,9.462238272029458
10211,lines,9.161180997698697
10021,lines,9.338537650136592
22011,store,9.241050450069956
11202,rates,9.512415298
21111,rates,9.376466039
